domain,step
Legal Contract Management,Reviewing contract templates
Making Sauerkraut (advanced),Shred cabbage and massage it with salt 
Hair Styling,Cut & style hair
Blacksmithing,Grinding
Metalworking,Grinding
Birdhouse Building,Networking with bird enthusiasts or conservationists
Retail Sales,Updating pricing labels
Inventory Management,Updating pricing labels
Retail Merchandising,Updating pricing labels
Beading,Teaching beading workshops
Birdhouse Building,Cutting wood pieces to size
Papercrafting (Quilling),Allowing glue to dry completely before handling
Travel Planning,Checking in for flights
Manual threading of looms,Begin weaving pattern using shuttle and weft yarn
Animation,Create storyboard
Creating Hand-Dipped Incense Sticks,Mix incense base
Pottery Glazing,Applying multiple layers of glaze
Handcrafted Skincare Products,Test for skin compatibility
Manual assembling of jigsaw puzzles,Work from edges inward
Candle Making (Beeswax),Labeling candle
Stamp Collecting,Learning about postal history and philatelic terminology
Wood Inlay Artwork,Cut and fit veneer pieces to design
Retail Sales,Offering demonstrations
Data Analysis,Creating flowcharts
Sourdough Bread Making,"Mixing flour, water, salt, and sourdough starter to make dough"
Baking Bread (Sourdough),"Mixing flour, water, salt, and sourdough starter to make dough"
Hand washing delicate fabrics,Rinse with clean water
Hand cleaning of jewelry,Rinse with clean water
Manual scrubbing of floors,Rinse with clean water
Inventory Replenishment,Verifying received quantities
Supply Chain Management,Verifying received quantities
Kombucha Brewing,Experimenting with different tea blends
Beading,Maintaining beading tools
T-shirt Quilting,Washing and preparing t-shirts
Silk Painting,Steam set dyes for permanence
Playing Board Game, Place game pieces 
Metal Jewelry Soldering,Researching soldering techniques and safety precautions
Landscaping,Applying fertilizers
Jewelry Making,Wrapping wire
Content Localization,Providing localization guidelines
Legal Document Review,Reviewing spreadsheets
Glass Fusing,Adding hardware for display or installation
Pastry (Viennoiserie),Proof & bake
Making Bespoke Leather Valet Trays with Snap Corners,Attach snaps
Bookbinding,"Apply finishing touches (labels, decoration)"
Planting a Tree, Water deeply 
Crafting Decorative Leather Book Covers,Measure book
Manual twisting of soft pretzels,Divide dough into portions and roll into ropes
Making Hand-Crafted Beaded Door Curtains,Hang in doorway
Seedling Transplanting,Researching optimal transplanting techniques
Warehouse Operations,Identifying overstocked items
Manual shucking of oysters,Remove top shell
Herbal Tea Blending,"Choosing base tea (e.g., black tea, green tea, herbal tea)"
Making Hand-Forged Kitchen Utensils,File and sand
Building a Handmade Picnic Basket with Woven Willow,Attach handle and closures
Handcrafted Jewelry,Polish shaped pieces
Creating Hand-Spun Cotton Yarn,Card to align fibers
Creating Custom Stained Glass Lamps,Assemble lamp
Animal Grooming,Styling fur
Pet Grooming,Styling fur
Tailoring,Cutting patterns
Leathercraft,Cutting patterns
Leatherworking,Cutting patterns
Sewing,Cutting patterns
Building Earthen Ovens,Build base
Hand Crafting Mosaic Backsplashes,Design backsplash
Traditional Painting (Oil),Sketch design with pencil
Hand-painted Porcelain,Sketch design with pencil
Custom Light Fixture Design,Inspect for design integrity and illumination
Creating Hand-Sculpted Polymer Clay Figurines,Condition and sculpt clay
Clay Sculpting,Refining shapes and adding details
Customer Support Ticket Resolution,Updating support documentation
Doll Making,Embroidering faces
Rubber Stamp Making,Fine-tuning stamp design
Leathercraft,Braiding
Rubber Stamp Making,Cleaning stamp
Inventory Management,Organizing warehouse shelves
Inventory Replenishment,Organizing warehouse shelves
Clinical Trials Management,Sharing study data
Manual assembling of model airplanes,Paint and detail model as desired
Manual assembling of model ships,Paint and detail model as desired
Creating Hand-Blended Incense Powders,"Mix resins, herbs, and woods"
Manual buffing of car exteriors,Wash and dry car surface
Seed Saving,Storing seeds in airtight containers
Household Budgeting,Setting up reminders
Gardening Maintenance,Transplanting
Legal Documentation,Filing appeals
Legal Case Management,Filing appeals
Hand-sewing of quilts,Add batting and backing
Hand rolling sushi,Prepare sushi rice
Manual rolling of sushi,Prepare sushi rice
Beekeeping,Harvesting honey
Beekeeping,Harvesting honey
Beekeeping,Harvesting honey
Lock Picking,Open lock
Lock Picking,Open lock
Making Artisan Charcuterie Boards,Cut and shape wood
Crafting Bespoke Wooden Jewelry,Cut and shape wood
Hand-sculpting of pottery,Carve or add texture as desired
Handicrafts,Selecting materials
Jewelry Making,Selecting materials
Fishing Net Making,Selecting materials
Basket Weaving,Selecting materials
Doll Making,Selecting materials
Jewelry Making,Selecting materials
Landscaping Design,Selecting materials
Basket Weaving,Selecting materials
Hand-carved Printing Blocks,"Sketch design on block (wood, linoleum)"
E-commerce Order Fulfillment,Staying updated on e-commerce trends
Pysanky (Ukrainian Egg Decorating),Repeat waxing and dyeing for multiple colors
Restaurant Service,Handling shift transitions
Beekeeping,Educating others about beekeeping
Creating Bespoke Clay Garden Markers,Glaze optional
Creating Artisan Bread Baking Cloches from Clay,Glaze optional
Crafting Custom Ceramic Plant Markers,Glaze optional
Making Bespoke Leather Travel Journals,Add closure and embellishments
Data Analysis,Participating in data communities
Making Traditional Fish Traps,"Select materials (bamboo, vine, willow)"
Fly Tying,Maintaining fly tying tools
Beeswax Candle Making,Trim wick to appropriate length
Hand-trimming candle wicks,Trim wick to appropriate length
Making Custom Glass Terrariums with Soldered Frames,Fill with plants and decorative stones
Coffee Roasting,Select beans
Pottery Making,Wedge clay
Ceramics (Hand-Building),Wedge clay
Crafting Bespoke Ceramic Mugs,Wedge clay
Crafting Ceramic Plant Pots,Wedge clay
Crafting Decorative Porcelain Vases,Wedge clay
Crafting Clay Flower Pots,Wedge clay
Crafting Bespoke Ceramic Mugs with Carved Designs,Wedge clay
Custom Leatherworking (Belts),Burnish and wax to finish
Clinical Trials Management,Closing study sites
Handbound Leather Sketchbooks,"Add closure (wrap, button)"
Embroidery,Transfer design
Manual threading of looms,Thread individual warp threads through heddles and reed
Social Media Management,Negotiating influencer agreements
Digital Marketing Campaign Management,Negotiating influencer agreements
Quality Assurance in Manufacturing,Providing feedback to suppliers
Wax Sculpting,"Cast sculpture using lost-wax method, if desired"
Manual engraving,Choose design
Laundry Services,Pre-treating stains
Content Creation,Incorporating feedback
Candle Making,Allow wax to cool and harden
Hand-pouring candles,Allow wax to cool and harden
Manual crafting of candles,Allow wax to cool and harden
Hand-pouring of candles,Allow wax to cool and harden
Crafting Leather Camera Straps,Edge and finish
Making Bespoke Wire Tree Sculptures,Shape branches
Hand-sewing of curtains,Add curtain tape or grommets for hanging
Papier-Mâché Sculpting,Inspect for solidity and finish
Soap Making (Cold Process),Unmolding soap and cutting into bars
Soap Making (Cold Process),Unmolding soap and cutting into bars
Camping Hike (advanced),Plan and navigate a challenging or remote hike 
Making Handwoven Rag Rugs,Weave on loom or braid
Building a Miniature Greenhouse for Seed Starting,Install shelves
Pasta Making,Tossing pasta in sauce
Making Hand-Crocheted Tablecloths,Crochet according to pattern
Making Hand-Crocheted Baby Booties,Crochet according to pattern
Candlestick Making,Selecting candlestick material
Wood Burning (Pyrography),Shading or filling in design
Artisanal Liqueur Crafting,Age for flavor melding
Planting a Vegetable Garden, Harvest vegetables when ripe
Crafting Bespoke Silverware with Hand-Hammered Details,Stamp monograms
Pizza Making,Make dough
Pasta Extrusion,Make dough
Dumpling Making,Make dough
Pie Making,Make dough
Crafting Beaded Window Curtains,Measure width and length
Manual washing dishes,Fill sink with soapy water
Shoe Repair,Assessing shoe damage
Sewing Clothes, Pin fabric together 
Manual Data Entry,Archiving records
Bartending,Mix & shake drinks
Hand-embroidering of fabric,Stitch design onto fabric using various embroidery stitches
Hand-stitching of embroidery samplers,Stitch design onto fabric using various embroidery stitches
Inventory Management,Entering items into inventory system
Social Media Management,Addressing complaints
Legal Case Management,Drafting trial briefs
Artisanal Bread Shaping,Divide into portions
Food Preparation,Peeling fruits
Custom Light Fixture Design,Assemble using welding or soldering
Leather Bookbinding,Glue leather to cover boards and text block
Crafting Wooden Children's Toys,Select safe wood
Hand-making of jewelry beads,Allow bead to dry or cure according to material instructions
Education Planning,Implementing behavior management strategies
Crafting Custom Fishing Flies,Tie materials onto hook in layers
Hand Painting Silk Scarves,Apply resist
Creating Bespoke Silk Scarves,Apply resist
Creating Custom Etched Glassware,Apply resist
Bartending, Stock bar with necessary ingredients 
Crafting Custom Leather Dog Collars,Add nameplate or decorations
Restoring Antique Furniture,Disassemble carefully
Building a Handcrafted Bread Box,Cut and assemble with ventilation holes
Home Repair,Documentation
Crafting Hand-Sewn Leather Gloves,Hand stitch together
E-commerce Order Fulfillment,Picking items from inventory
Making Hand-Thrown Pottery Lamps,Assemble with lighting hardware
Hardwood Floor Installation,Acclimate wood
Playing a Musical Instrument, Perform for others. 1 
Stained Glass Crafting,Foiling edges
Crafting Personalized Denim Jackets with Fabric Paints and Patches,Sew on patches
Bookbinding,Sew signatures together
Traditional Bookbinding,Sew signatures together
Bookbinding,Sew signatures together
Traditional Puppet Making,Carve heads and limbs from wood
Healthcare Appointment Scheduling,Handling urgent appointment requests
Hand-painting of ceramic tiles,Sketch design onto tiles
Fruit Preserving (Jam Making),Measuring fruit and sugar by weight or volume
Hand tying surgical knots,Grasp needle holder and suture needle
Fishing, Reel in fish 
Fly Tying,Trimming excess materials
Scrapbooking,Assembling pages
Making Hand-Pulled Noodles,Mix dough
Sourdough Bread,Mix dough
Creating Hand-Dipped Beeswax Taper Candles,Dip wicks repeatedly until desired thickness
Food Preservation (Jams & Jellies), Cook fruit mixture to thicken 
Building Rustic Log Furniture,Design furniture piece
Handcrafting wooden furniture,Design furniture piece
Wet Plate Photography,Seal image with varnish
Perfume Making,Researching fragrance families and perfume composition
Package Delivery,Training new drivers
Barbering,"Use clippers, scissors, straight razors"
Manual carving of pumpkins,Insert candle or light for illumination
Education Planning,Demonstrating skills
Building a Vintage-Inspired Wooden Toolbox,Assemble with traditional joinery
Customer Support Ticket Resolution,Logging time spent on tickets
Stamp Collecting,Updating stamp inventory regularly
Bookbinding,Fold paper into signatures
Pottery Glazing,Packaging pottery for sale or display
Restaurant Service,Presenting menus
Manual crafting of woven baskets,Shape basket as desired
Hand-weaving of baskets,Shape basket as desired
Knitting (advanced),Design your own knitting patterns 
Manual threading of fishing lines,Select appropriate fishing line and tackle
Playing a Board Game (advanced - designing a game),Develop a board game concept and theme 
Legal Document Review,Organizing document sets
Making Custom Enamel Mugs with Camping Themes,Bake in oven to set
Manual seasoning of cast iron cookware,Repeat seasoning process as needed
Manual seasoning of cast iron skillets,Repeat seasoning process as needed
Vintage Watch Restoration,Repair or replace damaged parts
Wooden Toy Carving,Apply clear coat for protection
Custom Fishing Lures Making,Apply clear coat for protection
Landscaping,Spraying pesticides
Manual shaping of topiaries,Trim and shape plant with shears
Pottery,Sanding and smoothing surfaces
Creating Custom Scented Room Sprays,Pour into spray bottles
Puppet Making,Sculpt character 
Crafting Personalized Leather Key Holders,Add ring or clip
Sharpening Knives, Draw knife across stone with even pressure 
Sewing Clothes (advanced), Work with complex fabrics and embellishments 
Drawing (portraits), Draw realistic portraits from reference photos
Custom Snow Globe Making,"Fill globe with distilled water, glycerin, and glitter"
Traditional Book Restoration,Restore or replicate cover
Mask Making,"Cast with paper mache, plaster, etc."
Car Detailing,Clean upholstery & surfaces
Content Localization,Implementing localization tools
Crafting Leather Camera Straps,Punch holes for attachments
Making Yogurt, Refrigerate the finished yogurt to stop fermentation
Tailoring,Taking measurements
Retail Sales,Taking measurements
Car Maintenance,Changing engine oil
Vehicle Maintenance,Changing engine oil
Bank Teller Transactions,Sorting coins
Traditional Potjiekos Cooking,Stir minimally to prevent sticking
Candle Making,Add fragrance
Soap Making,Add fragrance
Building Hand-Paddled Kayaks,Select wood or composite materials
Bonsai Cultivation,Shaping tree
Knitting,Increase/decrease
Letterpress Printing,Typeset text
Photography Editing,Correcting white balance
Alexander Technique,Develop ease of movement
Travel Planning,Booking flights
Supply Chain Management,Predicting future demand
Creating Hand-Sculpted Polymer Clay Figurines,Seal with glaze
Playing Board Game, Follow game rules 
Playing a Sport, Follow game rules 
Carpentry (Framing),Install trusses
Woodblock Printing,Carve design into wood block
Deep Cleaning a House,Declutter
Manual bottling of homemade sauces,Fill bottles with sauce
Stained Glass, Solder pieces together 
Metalworking (Forging),Checking work against design or template
Custom Fishing Net Making,Test in water for functionality
Seed Saving,Sharing seeds with other gardeners
Creating Hand-Knitted Baby Blankets,Wash and block
Making Handwoven Wool Blankets on a Loom,Wash and block
Business Expense Management,Staying updated on expense management trends
Japanese Woodblock Printing,Carve blocks
Jigsaw Puzzle Cutting,Sketching puzzle grid onto image
Crafting Custom Painted Silk Fans with Watercolor Techniques,Paint with silk watercolors
Manual Data Entry,Transcribing information
Camping,Pack gear 
Winemaking,Ferment juice
Playing Chess, Consider opponent's move 
Hand-drawn Map Making,Ink major outlines and details
Ceramic Pottery Glazing,Selling glazed pottery online or at art fairs
Origami Jewelry Making,Selling origami jewelry online or at craft fairs
Hand Sewing,Stitch pattern
Beer Brewing,Carbonation
Fermentation,Carbonation
Cob Building,Build foundation
T-shirt Quilting,Cutting t-shirts into usable squares or rectangles
Soap Mold Making,Assembling mold
Clock Making (Mechanical),Design clock mechanism
Data Analysis,Creating data dashboards
Raku Pottery,Apply special raku glazes
Inventory Management in Retail,Identifying obsolete inventory
Making Bespoke Wrought Iron Candle Sconces,Design sconce
Recruitment Process,Ordering equipment
Crafting Personalized Kitchen Aprons with Screen Printing,Sew apron
Tea Blending,Brewing samples
Tie-Dyeing Fabric,Allowing dye to penetrate fabric fully
Glass Painting,Filling in design with glass paint colors
Data Analysis,Providing recommendations
Restaurant Service,Providing recommendations
Kombucha Brewing,Adding sugar
Digital Marketing Campaign Management,Selecting digital marketing channels
Hand-stitching of leather wallets,Cut leather pieces to pattern
Hand-sewing of leather goods,Cut leather pieces to pattern
Hand-sewing of leather wallets,Cut leather pieces to pattern
Hand-stitching of leather bags,Cut leather pieces to pattern
Event Planning,Providing event team feedback
Rustic Wood Sign Making,Paint lettering or graphics
Stamp Collecting,Attending stamp shows or exhibitions
Music Production,Recording tracks
Inventory Replenishment,Transferring inventory to storage locations
Teaching,Individualizing instruction
Building Custom Acrylic Aquariums,Design aquarium
Manual crafting of woven baskets,Select basket-weaving materials such as reeds or rattan
Building a Rustic Outdoor Kitchen Station,Select weather-resistant materials
Herbalism,Complying with regulations
Perfume Making,Complying with regulations
Herbal Tea Blending,Complying with regulations
Herbal Salve Making,Complying with regulations
Candle Making,Remove candle from mold
Beeswax Candle Making,Remove candle from mold
Restaurant Service,Monitoring alcohol consumption
Dairy Farming,Pasteurizing milk
Paper Mache, Build layers 
Glass Fusing,Cleaning and polishing fused glass
Forging Kitchen Knives,Grind edge
Hand Forging Axes,Grind edge
Handmaking Artisan Bread Knives,Grind edge
Travel Planning,Preparing for travel delays
Restaurant Service,Managing reservations
Stone Masonry,Selecting stones
Stone Cutting,Selecting stones
Customer Support Ticket Resolution,Identifying trends in ticket volume
Glass Etching,Apply etching cream over exposed areas
Cooking (Historical),Cook over open fire
Content Creation,Adding visual effects
Farming,Maintaining equipment
Fishing,Maintaining equipment
Fishing Net Making,Maintaining equipment
Construction,Maintaining equipment
Manufacturing Assembly,Maintaining equipment
E-commerce Order Fulfillment,Maintaining equipment
Papercrafting (Quilling),Teaching quilling workshops or classes
Chalk Art,Consider perspective for 3D illusions
Hand-sculpting of clay pottery,Allow to dry partially before firing in kiln
Manual Data Entry,Entering data into software
Candle Carving,Maintaining carving tools
Spoon Carving,Maintaining carving tools
Rubber Stamp Making,Maintaining carving tools
Handmade Tile Mosaics,Seal grout for durability
Electrical Wiring,Test system
Making Bespoke Quilted Tote Bags with Patchwork,Sew pieces into patchwork
Doll Making,Designing doll pattern
Cooking,Serving food
Hand-Sewing Clothing Repair,"Hand-sewing patch in place using appropriate stitch (e.g., running stitch, whipstitch)"
Warehouse Operations,Arranging shipments with carriers
Homebrewed Beer Recipe Development,"Select malts, hops, and yeast"
Legal Contract Management,Reviewing insurance requirements
Food Preparation,Sharpening knives
Travel Planning,Setting up international phone plans
Music Production,Finalizing production
Handmade Paper Crafts (Origami),Fold paper according to origami techniques
Tea Blending,"Choosing complementary herbs, spices, and botanicals"
Pottery,Final firing
Landscaping, Install hardscaping
Calligraphy,Compose a piece
Medical Billing and Coding,Assigning procedural codes
Birdhouse Making,Constructing bird feeders
Hand-stretching canvas for painting,Select canvas and stretcher bars
Education Planning,Analyzing assessment data
Crafting Personalized Slate Cheese Boards,Etch names or designs
Building a Fold-Out Convertible Desk from a Wall Cabinet,Design convertible desk
Creating Artisanal Mustards,Crush or blend with vinegar
Bead Weaving,Cleaning beadwork with soft brush or cloth
Handcrafted Paper Flowers,Cut petals and leaves
Crafting Glass Beads (Lampworking),Wind molten glass around mandrel
Glass Bead Making,Wind molten glass around mandrel
Decoupage,Arranging paper onto surface
Ice Sculpting,Transporting
Brewing Beer, Bottle or keg beer 
Crafting Hand-Dyed Shibori Curtains,"Fold, twist, or tie"
Creating Hand-Dyed Bandanas with Shibori Techniques,"Fold, twist, or tie"
Macrame,Packaging macrame for sale or gifting
Metalworking (Forging),Placing metal on anvil and securing it
Clinical Trials Management,Reconciling study finances
Supply Chain Management,Coordinating shipments
Hand-carved Wooden Spoons,Shape handle with knife
Traditional Canoe Building,Inspect for buoyancy and maneuverability
Crafting Glass Beads (Lampworking),Light torch
Making Artisanal Marshmallows,Whip with gelatin
Gardening,Planting seeds/plants
Gardening,Planting seeds/plants
Hand-building model airplanes,Cut and assemble plastic or wooden parts
Sushi Rolling,Prepare rice
Painting,Blending colors
Hand-packing products,Receive products
Painting (Acrylic/Oil), Apply paint in layers 
Catering Service,Labeling dishes
Making Mead (Honey Wine),Mix honey with water
Fixing a Flat Tire,Park car safely 
Forged Metal Sculpture,Select appropriate metals
Sewing Clothes, Sew seams 
Whittling,Sharpen knife
Basic 3D Printing, Slice the model for printing 
Manual tying of fishing knots,Test knot strength
Glass Etching,Rinsing off etching cream
Package Delivery,Securing packages
Fishing,Reel in fish
Fishing,Reel in fish
Beekeeping (Advanced),Split hives
Crafting Traditional Clay Roof Tiles,Prepare clay
Handcrafting Clay Tiles for Mosaics,Prepare clay
Handmaking Clay Wind Chimes,Prepare clay
Creating Bespoke Earthenware Vessels,Prepare clay
Crafting Bespoke Ceramic Tiles,Prepare clay
Making Handcrafted Terracotta Pots,Prepare clay
Making Hand-Thrown Pottery Lamps,Prepare clay
Crafting Decorative Ceramic Tiles with Relief,Prepare clay
Creating Hand-Crafted Pottery Vases,Prepare clay
Making Hand-Thrown Ceramic Bowls,Prepare clay
Making Hand-Stamped Clay Ornaments,Prepare clay
Making Hand-Thrown Pottery Planters,Prepare clay
Making Hand-Crafted Ceramic Coasters with Cork Backing,Prepare clay
Making Bespoke Stoneware Pie Dishes,Prepare clay
Crafting Bespoke Clay Incense Holders,Prepare clay
Making Bespoke Clay Earring Holders,Prepare clay
Making Bespoke Ceramic Candle Holders,Prepare clay
Making Handcrafted Soap Dishes with Drainage,Prepare clay
Creating Customized Clay Flower Vases with Textured Surfaces,Prepare clay
Making Bespoke Clay Oil Diffusers with Natural Patterns,Prepare clay
Creating Hand-Thrown Pottery Mugs with Thumb Rests,Prepare clay
Creating Personalized Stoneware Mugs with Slip Decoration,Prepare clay
Crafting Bespoke Ceramic Teapots with Hand-Carved Details,Prepare clay
Crafting Custom Glazed Pottery Planters with Drainage Holes,Prepare clay
Creating Handmade Porcelain Votive Candle Holders,Prepare clay
Making Artisanal Clay Diffusers for Essential Oils,Prepare clay
Crafting Bespoke Stoneware Dinner Plates,Prepare clay
Creating Artisan Bread Baking Cloches from Clay,Prepare clay
Making Artisanal Wood-Fired Terra Cotta Pizza Stones,Prepare clay
Making Bespoke Ceramic Knobs for Cabinets,Prepare clay
Making Custom Fit Earthenware Flower Pots,Prepare clay
Hand-crafted pottery,Prepare clay
Manual creation of pottery,Prepare clay
Manual sculpting of clay figures,Prepare clay
Hand-spinning pottery,Prepare clay
Hand-rolling of clay coils,Prepare clay
Hand-sculpting of pottery,Prepare clay
Beeswax Candle Making,Inspect for smoothness and uniform shape
Wire Sculpture,Sketching sculpture design
Building a Hand-Painted Kitchen Island on Wheels,Attach hardware and countertop
Traditional Carpentry,"Install hardware (handles, hinges, etc.)"
Building Wooden Veggie Storage Bins,Design bin
Building Wooden Compost Bins,Design bin
Traditional Moccasin Making,Inspect for comfort and durability
Applique,Attach shapes to base fabric with stitching
Mosaic (Complex),Cut intricate tile pieces
Vehicle Maintenance,Inspecting brake lines
Natural Perfumery,Test on skin for reaction
Hotel Housekeeping,Replacing light bulbs
Janitorial Services,Replacing light bulbs
Vehicle Maintenance,Testing battery voltage
Event Planning,Planning menu
Catering,Planning menu
Floral Arranging,Select flowers & greenery
Artisanal Mead Making,Age until clear
Making Hand-Tufted Throw Pillows,Design pillow
Creating Hand-Tufted Decorative Pillows,Design pillow
Figure Skating,Learn jumps & spins
Sculpting,Sketching designs
Woodblock Printing,Let prints dry
Landscaping,Providing consultations
Content Localization,Translating content
Shoemaking (Leather Crafting),Cut leather based on pattern
Quality Assurance in Manufacturing,Celebrating quality milestones
Hand-stirring risotto,Add Arborio rice
Building Hand-Paddled Kayaks,Design kayak
Making Pickles (advanced),Experiment with different pickling brines and spices 
Bonsai Cultivation,Selecting suitable tree species
Catering Service,Packing leftovers
Restaurant Service,Packing leftovers
Shoe Repair,Buffing scuffs
Creating Hand-Painted Wooden Trays,Decorate with designs
Artisanal Mustard Making,Inspect for consistency and taste
Childcare,Bathing
Making Handwoven Rag Rugs,Connect braids or weave strips
Event Planning,Providing event badges
Horseback Riding, Learn and practice basic riding commands 
Origami,Create creases
Social Media Management,Creating branded hashtags
Crafting Artisan Bread Boards,Shape edges
Crafting Artisan Cutting Boards,Shape edges
Crafting Artisanal Maple Wood Cutting Boards,Shape edges
Digital Marketing Campaign Management,Optimizing email content
Glassblowing,Heating glass
Leather Tooling,"Applying finishes (e.g., sealant)"
IT Support,Preparing status reports
Technical Support,Preparing status reports
Dry Stone Wall Building,Inspect for strength and alignment
Building Outdoor Wooden Planters,Drill drainage holes
Building a Cedar Planter Box on Legs,Drill drainage holes
Home Canning, Store canned goods properly
Event Planning,Setting up decorations
Manual tying of fishing flies,Finish with whip finish knot and head cement
Falconry,Observe ethical practices
Making Custom Skateboards,Assemble with trucks and wheels
Sand Sculpting,"Carve sculpture using trowels, chisels, and brushes"
Paper Cutting,Teaching paper cutting workshops
Micro Painting,Paint detailed miniatures
Creating Custom Glass Terrariums for Succulents,Assemble with silicone sealant
Recruitment Process,Issuing uniforms
Antique Restoration,Assess condition 
Tax Preparation,Double-checking calculations
Hand-pouring of latte art,Use spoon or other tool to create desired design on surface of latte
Building Outdoor Benches with Hidden Storage,Finish and waterproof
Hairdressing,Conditioning hair
Cheese Making,Cut curd to release whey
Electrical Wiring,Plan circuits
Hand-pulling noodles,Serve hot
Intarsia,Fit together like a puzzle
Building a Cedar Planter Box on Legs,Assemble box and legs
Crafting Clay Flower Pots,Glaze if desired
Creating Hand-Stamped Personalized Clay Pendants,Glaze if desired
Manual creation of pottery,Glaze if desired
Building Handcrafted Bird Feeders with Recycled Materials,Paint
Crafting Bespoke Outdoor Wind Spinners from Recycled Materials,Paint
Creating Hand-Sculpted Polymer Clay Figurines,Paint
Handmade Fishing Rods (Bamboo),Varnish for weather protection
Paper Quilling,Selecting quilling paper strips
Retail Sales,Greeting customers
Bank Teller Transactions,Greeting customers
Crafting Hand-Blown Drinking Glasses,Open lip
Hand-building of terrariums,"Layer gravel, charcoal, and soil"
Terrarium Building,"Layer gravel, charcoal, and soil"
Medical Billing and Coding,Conducting coding reviews
Business Expense Management,Defining eligible expenses
Housekeeping,Organizing clutter
Building a Handcrafted Stone Fire Pit,Select stones
Dry Stone Walling,Select stones
Building Stone Fences,Select stones
Creating Mosaics with Natural Stones,Select stones
Jousting,Train horses
Manufacturing Assembly,Providing feedback to workers
Quality Assurance in Manufacturing,Documenting inspection findings
Legal Contract Management,Reviewing entire agreement clauses
Scrapbooking,Organizing supplies
Calligraphy Writing,Allowing ink to dry completely before handling
Crafting Hand-Stitched Quilts with Personalized Themes,Quilt and bind edges
Handmade Pottery,Dry completely
Traditional Plaster Sculpting,Dry completely
Event Planning,Arranging event logistics
Manual seasoning of cast iron skillets,Heat skillet on stovetop or in oven to allow oil to penetrate
Handcrafted Soapstone Carving,Oil to enhance color and grain
Handspun Pottery Glazing,Mix custom glazes
Crafting Handwoven Baskets from Kudzu Vine,Dry slightly
Gardening,Planning for seasonal changes
Wood Burning (Pyrography),Adjusting pen pressure for different effects
Homemade Cheese Making,Inspect for consistency and mold development
Traditional Sourdough Starters,Use in sourdough bread recipes
Mosaic Art,Cut tiles to fit design
Seed Saving,Selecting mature and healthy plants for seed saving
Handmade Tile Coasters,Cut into coaster shapes
Bank Teller Transactions,Promoting financial products
Food Preservation (Pickling), Pack vegetables in jars 
Neon Sign Making,Apply electrodes
Making Custom Wooden Garden Labels,Seal with waterproof finish
Creating Custom Hand-Painted Sneakers with Waterproof Paint,Seal with waterproof finish
Cheese Making,Press curd
Traditional Tailoring (Bespoke Suits),Inspect for perfect fit and finish
Artisanal Salt Making,Collect sea water or source brine
Package Delivery,Coordinating with dispatchers
Making Hand-Dyed Silk Scarves with Eco-Printing,Arrange leaves or flowers
Baking,Greasing baking pans
Legal Contract Management,Organizing contracts by category
Building a Portable Solar USB Charger Box,Finish and paint
Beaded Jewelry Crafting,Inspect for design symmetry and durability
Landscaping,Laying sod
Landscaping,Laying sod
Crafting Leather Wallets with Burned Designs,Assemble wallet pieces
Construction Project Management,Applying interior finishes
Hand sorting grains,Separate by size or type
Custom Knife Making,Cut and shape steel
Financial Planning,Attending continuing education programs
Hand-tufted Rugs,Apply adhesive to secure yarns
Sculpture,Armature construction
Spoon Carving,Packaging spoon
Hairdressing,Shaping eyebrows
Cooking,Cleaning kitchen appliances
Artisanal Bread Shaping,Inspect for crust and crumb quality
Building Custom Bicycles,Cut and weld frame
Manual rolling of cinnamon rolls,Bake until golden brown and glaze if desired
Manual carving of soap sculptures,Carve soap using carving tools to shape and add details
Inventory Management in Retail,Implementing recall procedures
Inventory Replenishment,Generating purchase orders
Cheese Making,Maintaining cheese cave or aging environment
Cobbling (Shoe Repair),Cut new sole to fit
Legal Contract Management,Reviewing liability limitations
Legal Document Review,Reviewing website content
Origami,Using mathematics in origami design
Hand-painting of pottery,Prepare ceramic piece and sketch design
Ceramic Pottery Glazing,Stirring glazes thoroughly to ensure even consistency
Metal Jewelry Soldering,Inspecting soldered connections for quality
Manual decorating of wedding cakes,Transport and assemble on-site
Artisanal Salt Making,Harvest salt crystals
Car Maintenance,Checking brakes
Soap Mold Making,Attending mold-making workshops
Crafting Bamboo Flutes,Drill finger holes
Heritage Conservation (Artifacts),Monitor and adjust environmental conditions
Sculpting,Painting sculptures
Forging Nail and Screws by Hand,Hammer to point
Tie-Dyeing Fabric,"Folding, twisting, or bunching fabric to create patterns"
Bakery,Displaying
Floristry,Displaying
Cake Decorating,Displaying
Sculpting,Displaying
Chocolate Making,Displaying
Bonsai Cultivation,Displaying
Crafting Custom Painted Surfboards with Eco-Friendly Paints,Select surfboard
Woven Tapestry,Inspect for artistic expression and technique
Essential Oil Blending,Selling essential oil blends online or at wellness shops
Bookbinding,Inspect for binding quality and durability
Massage Therapy,Assess client needs 
Making Hand-Carved Wooden Spoons and Forks,Carve with chisels and knives
Woodworking,Clamping pieces together
Candlestick Making,Clamping pieces together
Pasta Making,Garnishing pasta dishes
Building a Rustic Log Side Table,Sand top smooth
Stained Glass Art,Grind edges for fit
Toy Making (Wooden),Assemble pieces with glue and/or screws
Recruitment Process,Promoting internal candidates
Custom Skateboard Making,Inspect for quality and performance
Hand Carving Wooden Spoons,Scoop bowl
Building a Hand-Painted Kitchen Island on Casters,Add casters
Building an Upcycled Pallet Coffee Table,Add casters
Basic Car Maintenance, Check engine oil level 
Chocolate Making,Mold
