domain,steps
Manual mixing of concrete,Measure out concrete mix and water|Combine mix and water in mixing container|Mix thoroughly with shovel or hoe until uniform consistency is achieved
Hand-painting of silk scarves,Stretch silk fabric on frame or hoop|Sketch design lightly with pencil|Apply silk dyes using brushes or pipettes|Allow dye to set and dry|Fix colors by steaming or ironing
Manual sharpening of knives,"Select appropriate sharpening stone or tool|Hold knife at proper angle against stone|Draw blade across stone, alternating sides|Hone edge with finer grit stone if desired|Test sharpness and refine as needed"
Hand-weaving of baskets,"Select basket-weaving materials such as reeds, vines, or grasses|Prepare materials by soaking or steaming to increase flexibility|Weave materials together using over-under technique|Shape basket as desired|Secure ends and trim excess"
Manual assembly of gingerbread houses,"Prepare gingerbread dough and cut out house pieces|Bake pieces until firm|Assemble house using royal icing as glue|Decorate with icing, candies, and other edible embellishments"
Hand-carving of wooden spoons,Select wood and design|Rough out spoon shape with carving tools|Refine shape and smooth surfaces|Finish with food-safe oil or beeswax
Manual twisting of soft pretzels,Prepare pretzel dough|Divide dough into portions and roll into ropes|Form into pretzel shapes by crossing and twisting ends|Boil briefly in water with baking soda|Bake until golden brown
Hand-rolling of pasta,Mix flour and eggs to form dough|Knead dough until smooth and elastic|Roll out dough to desired thickness|Cut into strips or shapes as desired
Manual blending of essential oils,"Select desired essential oils for blend|Measure oils into blending container|Mix oils together, adjusting ratios as needed|Test scent and adjust as desired"
Hand-painting of miniature figurines,"Prime figurine surface if necessary|Apply base coats and washes to add depth|Paint details such as eyes, clothing, and weapons|Add highlights and shading|Seal with clear varnish or matte finish"
Manual shaping of sugar cookies,Prepare sugar cookie dough|Roll out dough to desired thickness|Cut out shapes using cookie cutters|Transfer cookies to baking sheet|Bake until edges are golden brown
Hand-sewing of plush toys,Select fabric and pattern|Cut fabric pieces and sew together|Stuff toy with polyester fiberfill|Hand-sew openings closed|Add details such as eyes and features
Manual planting of succulent gardens,"Select appropriate container and succulent plants|Prepare soil mix and drainage layers|Arrange plants in container, considering size and shape|Water lightly and allow soil to settle"
Hand-twisting of pretzels,Prepare pretzel dough|Divide dough into portions|Roll each portion into long ropes|Shape ropes into pretzel form by twisting and crossing ends|Boil briefly in baking soda solution|Bake until golden brown
Manual grooming of horses,Brush coat to remove dirt and loose hair|Pick hooves to remove debris|Trim mane and tail as needed|Check for injuries or signs of illness
Hand-rolling of cigars,Select tobacco leaves|Arrange leaves in desired shape|Roll leaves tightly|Seal ends|Trim excess|Age cigars in humidor
Manual seasoning of cast iron skillets,Wash and dry skillet|Apply thin layer of oil to skillet surface|Heat skillet on stovetop or in oven to allow oil to penetrate|Repeat seasoning process as needed
Hand-sculpting of marzipan decorations,Knead marzipan until pliable|Shape marzipan into desired forms such as fruits or flowers|Add color with food coloring if desired|Allow decorations to air dry
Manual mixing of concrete,Measure out concrete mix and water|Combine mix and water in mixing container|Mix thoroughly with shovel or hoe until uniform consistency is achieved
Hand-painting of silk scarves,Stretch silk fabric on frame or hoop|Sketch design lightly with pencil|Apply silk dyes using brushes or pipettes|Allow dye to set and dry|Fix colors by steaming or ironing
Manual sharpening of knives,"Select appropriate sharpening stone or tool|Hold knife at proper angle against stone|Draw blade across stone, alternating sides|Hone edge with finer grit stone if desired|Test sharpness and refine as needed"
Hand-weaving of baskets,"Select basket-weaving materials such as reeds, vines, or grasses|Prepare materials by soaking or steaming to increase flexibility|Weave materials together using over-under technique|Shape basket as desired|Secure ends and trim excess"
Manual assembly of gingerbread houses,"Prepare gingerbread dough and cut out house pieces|Bake pieces until firm|Assemble house using royal icing as glue|Decorate with icing, candies, and other edible embellishments"
Food Preparation,Cleaning and chopping vegetables|Marinating meat|Cooking on stove|Seasoning|Plating|Serving|Cleaning utensils|Washing dishes|Storing leftovers|Restocking pantry
Handicrafts,Sketching design|Selecting materials|Cutting fabric|Sewing pieces together|Embroidering or decorating|Adding finishing touches|Quality check|Packaging|Labeling|Shipping
Gardening,Soil preparation|Planting seeds|Watering|Weeding|Fertilizing|Pruning|Monitoring for pests|Harvesting|Storing produce|Composting
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Cleaning Services,Assessing cleaning needs|Gathering supplies|Dusting|Vacuuming|Mopping|Scrubbing surfaces|Disinfecting|Polishing|Waste disposal|Inspecting for missed spots
Car Maintenance,Checking oil level|Inspecting tire pressure|Cleaning exterior|Washing interior|Vacuuming|Changing air filters|Checking brakes|Replacing windshield wipers|Inspecting lights|Refueling
Home Repair,Assessing damage|Gathering tools and materials|Removing damaged parts|Repairing or replacing components|Testing functionality|Painting or finishing|Cleaning up debris|Inspecting for other issues|Final touch-ups|Documentation
Event Planning,Setting event goals|Choosing venue|Creating guest list|Sending invitations|Planning menu|Arranging decor|Coordinating entertainment|Managing RSVPs|Finalizing logistics|Day-of coordination
Housekeeping,Making beds|Dusting surfaces|Vacuuming floors|Mopping|Cleaning bathrooms|Emptying trash|Organizing clutter|Changing linens|Washing windows|Maintaining cleanliness standards
Childcare,Planning activities|Supervising playtime|Preparing meals|Feeding|Changing diapers|Bathing|Reading stories|Assisting with homework|Putting to bed|Communicating with parents
Bakery,Mixing ingredients|Kneading dough|Allowing dough to rise|Shaping dough|Baking|Decorating baked goods|Cooling|Packaging|Labeling|Displaying
Farming,Plowing fields|Planting seeds|Watering crops|Protecting from pests|Harvesting|Sorting produce|Packing for transport|Transporting to market|Selling produce|Maintaining equipment
Painting,Preparing surfaces|Priming|Choosing paint colors|Mixing paint|Applying paint|Using brushes/rollers|Applying multiple coats|Allowing to dry|Inspecting for imperfections|Cleaning brushes/tools
Barbering/Hairdressing,Consulting with clients|Washing hair|Cutting hair|Styling hair|Shaving|Coloring hair|Trimming facial hair|Applying products|Blow-drying|Sweeping hair
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Construction,Excavating site|Laying foundation|Framing structure|Installing plumbing/electrical|Insulating|Drywalling|Painting|Installing flooring|Adding fixtures|Cleaning site
Fishing,Selecting bait|Casting lines|Waiting for bites|Reeling in catch|Removing hook|Handling fish|Cleaning fish|Storing catch|Maintaining equipment|Reflecting on catch
Sewing,Choosing pattern|Cutting fabric|Sewing pieces together|Adding closures (zippers/buttons)|Hemming|Fitting garment|Pressing|Adding embellishments|Quality check|Packaging
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Landscaping,Designing landscape|Clearing debris|Planting shrubs/trees|Laying sod|Mulching|Installing irrigation|Trimming hedges|Mowing lawn|Weeding|Applying fertilizers/pesticides
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging
Teaching,Planning lessons|Preparing materials|Delivering instruction|Facilitating discussions|Assessing understanding|Providing feedback|Managing classroom behavior|Individualizing instruction|Collaborating with colleagues|Reflecting on teaching
Plumbing,Diagnosing problem|Gathering tools|Shutting off water|Disassembling pipes/fixtures|Repairing/replacing components|Checking for leaks|Testing functionality|Cleaning work area|Documenting work|Educating customer
Animal Grooming,Bathing animals|Brushing fur/coat|Clipping nails|Cleaning ears|Trimming fur|Checking for parasites|Applying flea/tick treatment|Styling fur|Adding accessories|Rewarding with treats
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Ironmongery,"Designing metalwork|Measuring materials|Cutting metal|Forging metal|Shaping metal|Welding|Assembling components|Finishing (grinding, sanding)|Installing|Testing functionality"
Gardening Maintenance,Pruning plants|Deadheading flowers|Dividing perennials|Fertilizing soil|Mulching|Transplanting|Watering|Weeding|Cleaning tools|Inspecting for pests/disease
Catering,Planning menu|Shopping for ingredients|Prepping ingredients|Cooking|Plating|Transporting food|Setting up buffet|Serving guests|Clearing dishes|Cleaning up
Leathercraft,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Archiving,Sorting documents/items|Organizing by category/date|Cataloging|Digitizing|Labeling|Storing in appropriate containers|Protecting from environmental damage|Maintaining inventory|Updating records|Monitoring for preservation needs
Floristry,"Selecting flowers|Trimming stems|Arranging flowers|Adding foliage|Wrapping bouquets|Adding accents (ribbons, beads)|Watering arrangements|Pricing|Displaying|Taking orders"
Beekeeping,Inspecting hives|Checking for pests/disease|Harvesting honey|Extracting honey|Filtering honey|Bottling honey|Labeling jars|Storing honey|Maintaining hives|Educating others
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Blacksmithing,Heating metal|Forging metal|Shaping metal|Quenching|Tempering|Grinding|Polishing|Adding finishes|Inspecting for quality|Storing finished pieces
Fishing Net Making,Selecting materials|Measuring and cutting|Knotting mesh|Weaving net|Attaching floats and weights|Testing strength|Repairing any flaws|Adding identifying markers|Storing|Maintaining equipment
Baking,Creating recipes|Measuring ingredients|Mixing ingredients|Kneading dough|Proofing dough|Shaping dough|Baking|Cooling|Decorating|Packaging
Herbalism,Harvesting herbs|Drying herbs|Storing herbs|Blending herbs|Creating herbal remedies|Labeling products|Packaging products|Testing products|Selling products|Educating customers
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Dairy Farming,Milking cows/goats|Filtering milk|Storing milk|Pasteurizing milk|Packaging milk|Labeling milk|Storing dairy products|Cheese making|Yogurt making|Cleaning equipment
Basket Weaving,Selecting materials|Soaking materials|Weaving base|Adding spokes|Weaving sides|Shaping basket|Adding handle|Finishing edges|Trimming excess|Staining/sealing
Cake Decorating,Baking cake|Mixing frosting|Leveling cake|Crumb coating|Decorating with frosting|Adding fondant|Piping decorations|Adding embellishments|Finishing touches|Displaying
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Paper Making,Gathering materials|Breaking down pulp|Mixing pulp|Pouring pulp onto screens|Pressing excess water|Drying|Cutting paper|Inspecting for flaws|Packaging|Labeling
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Winemaking,Harvesting grapes|Crushing grapes|Fermenting juice|Pressing grapes|Aging wine|Racking|Bottling|Corking|Labeling bottles|Storing wine
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Interior Design,Assessing client needs|Developing design concepts|Creating mood boards|Selecting furniture/fabrics|Arranging layouts|Sourcing decor|Managing contractors|Overseeing installations|Styling spaces|Client presentation
Shoe Repair,Assessing damage|Gathering tools/materials|Cleaning shoes|Repairing soles|Replacing heels|Stitching|Polishing|Stretching|Recoloring|Inspecting for quality
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Embroidery,Selecting fabric|Choosing design|Transferring design|Hooping fabric|Selecting threads|Embroidering stitches|Trimming excess|Removing stabilizer|Pressing|Framing/displaying
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Leatherworking,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Metalworking,Selecting metal|Cutting metal|Shaping metal|Welding|Forging|Grinding|Polishing|Applying finishes|Inspecting for quality|Packaging for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging for sale
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Interior Design,Assessing client needs|Developing design concepts|Creating mood boards|Selecting furniture/fabrics|Arranging layouts|Sourcing decor|Managing contractors|Overseeing installations|Styling spaces|Client presentation
Shoe Repair,Assessing damage|Gathering tools/materials|Cleaning shoes|Repairing soles|Replacing heels|Stitching|Polishing|Stretching|Recoloring|Inspecting for quality
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Embroidery,Selecting fabric|Choosing design|Transferring design|Hooping fabric|Selecting threads|Embroidering stitches|Trimming excess|Removing stabilizer|Pressing|Framing/displaying
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Leatherworking,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Metalworking,Selecting metal|Cutting metal|Shaping metal|Welding|Forging|Grinding|Polishing|Applying finishes|Inspecting for quality|Packaging for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging for sale
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Interior Design,Assessing client needs|Developing design concepts|Creating mood boards|Selecting furniture/fabrics|Arranging layouts|Sourcing decor|Managing contractors|Overseeing installations|Styling spaces|Client presentation
Shoe Repair,Assessing damage|Gathering tools/materials|Cleaning shoes|Repairing soles|Replacing heels|Stitching|Polishing|Stretching|Recoloring|Inspecting for quality
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Embroidery,Selecting fabric|Choosing design|Transferring design|Hooping fabric|Selecting threads|Embroidering stitches|Trimming excess|Removing stabilizer|Pressing|Framing/displaying
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Leatherworking,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Metalworking,Selecting metal|Cutting metal|Shaping metal|Welding|Forging|Grinding|Polishing|Applying finishes|Inspecting for quality|Packaging for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging for sale
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Interior Design,Assessing client needs|Developing design concepts|Creating mood boards|Selecting furniture/fabrics|Arranging layouts|Sourcing decor|Managing contractors|Overseeing installations|Styling spaces|Client presentation
Shoe Repair,Assessing damage|Gathering tools/materials|Cleaning shoes|Repairing soles|Replacing heels|Stitching|Polishing|Stretching|Recoloring|Inspecting for quality
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Embroidery,Selecting fabric|Choosing design|Transferring design|Hooping fabric|Selecting threads|Embroidering stitches|Trimming excess|Removing stabilizer|Pressing|Framing/displaying
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Leatherworking,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Metalworking,Selecting metal|Cutting metal|Shaping metal|Welding|Forging|Grinding|Polishing|Applying finishes|Inspecting for quality|Packaging for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging for sale
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Interior Design,Assessing client needs|Developing design concepts|Creating mood boards|Selecting furniture/fabrics|Arranging layouts|Sourcing decor|Managing contractors|Overseeing installations|Styling spaces|Client presentation
Shoe Repair,Assessing damage|Gathering tools/materials|Cleaning shoes|Repairing soles|Replacing heels|Stitching|Polishing|Stretching|Recoloring|Inspecting for quality
Pottery,Preparing clay|Throwing on wheel|Shaping pottery|Trimming excess clay|Drying|Bisque firing|Glazing|Final firing|Inspecting for cracks|Packaging for sale
Embroidery,Selecting fabric|Choosing design|Transferring design|Hooping fabric|Selecting threads|Embroidering stitches|Trimming excess|Removing stabilizer|Pressing|Framing/displaying
Bookbinding,Cutting paper|Sewing signatures|Gluing spine|Attaching endpapers|Pressing|Trimming edges|Applying cover material|Embossing title|Adding decorative elements|Drying
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Leatherworking,Selecting leather|Cutting patterns|Punching holes|Stitching leather|Dyeing leather|Adding hardware|Burnishing edges|Applying finishes|Inspecting for quality|Packaging for sale
Metalworking,Selecting metal|Cutting metal|Shaping metal|Welding|Forging|Grinding|Polishing|Applying finishes|Inspecting for quality|Packaging for sale
Upholstery,Removing old fabric|Assessing padding|Replacing padding if necessary|Cutting new fabric|Sewing fabric|Stapling fabric to frame|Adding finishing touches|Inspecting for quality|Cleaning work area|Delivering to client
Jewelry Making,Designing jewelry|Selecting materials|Cutting metal/wire|Shaping metal/wire|Soldering|Assembling components|Adding gemstones|Polishing|Inspecting for flaws|Packaging for sale
Calligraphy,Selecting tools|Choosing paper|Practicing strokes|Drafting layout|Inking|Writing characters|Adding flourishes|Allowing to dry|Mounting|Framing
Glassblowing,Gathering materials|Heating glass|Shaping glass|Blowing glass|Adding color|Annealing|Trimming excess|Inspecting for flaws|Polishing|Packaging for sale
Doll Making,Designing dolls|Selecting materials|Cutting fabric/patterns|Sewing pieces together|Stuffing dolls|Embroidering faces|Adding hair|Dressing dolls|Adding accessories|Quality inspection
Soap Making,Selecting oils/butters|Measuring ingredients|Mixing lye solution|Heating oils|Combining lye solution and oils|Adding fragrances/colorants|Pouring into molds|Allowing to cure|Cutting into bars|Packaging
Music Production,Composing music|Recording tracks|Editing audio|Mixing tracks|Mastering|Adding effects|Arranging tracks|Reviewing mixes|Finalizing production|Distributing
Sculpture,Sketching design|Choosing materials|Armature construction|Modeling clay|Carving wood|Chiseling stone|Molding plaster|Firing clay|Finishing surfaces|Displaying art
Photography,Planning shoot|Setting up equipment|Adjusting lighting|Posing subjects|Taking photos|Reviewing shots|Editing photos|Printing|Framing|Delivering to client
Tailoring,Taking measurements|Choosing fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Final stitching|Pressing|Adding buttons/zippers|Quality inspection
Locksmithing,Assessing lock type|Gathering tools|Disassembling lock|Repairing/Replacing components|Reassembling lock|Testing functionality|Key cutting|Key duplication|Key programming|Customer invoicing
Stone Masonry,Selecting stones|Cutting stones|Shaping stones|Laying stones|Mortar mixing|Applying mortar|Aligning stones|Finishing surfaces|Cleaning excess mortar|Sealing
Woodcarving,Choosing wood type|Sketching design|Chiseling|Carving|Sanding|Applying finishes|Polishing|Adding details|Inspecting for flaws|Signing work
